Filename,MaxFeret,MinFeret,SolidArea
156_processed.jpeg,inf,inf,inf
157_processed.jpeg,inf,inf,inf
158_processed.jpeg,inf,inf,inf
159_processed.jpeg,inf,inf,inf
15_processed.jpeg,inf,inf,inf
160_processed.jpeg,inf,inf,inf
161_processed.jpeg,inf,inf,inf
162_processed.jpeg,inf,inf,inf
163_processed.jpeg,inf,inf,inf
164_processed.jpeg,inf,inf,inf
165_processed.jpeg,inf,inf,inf
166_processed.jpeg,inf,inf,inf
167_processed.jpeg,inf,inf,inf
168_processed.jpeg,inf,inf,inf
169_processed.jpeg,inf,inf,inf
16_processed.jpeg,inf,inf,inf
170_processed.jpeg,inf,inf,inf
171_processed.jpeg,inf,inf,inf
172_processed.jpeg,inf,inf,inf
173_processed.jpeg,inf,inf,inf
174_processed.jpeg,inf,inf,inf
175_processed.jpeg,inf,inf,inf
176_processed.jpeg,inf,inf,inf
177_processed.jpeg,inf,inf,inf
178_processed.jpeg,inf,inf,inf
179_processed.jpeg,inf,inf,inf
17_processed.jpeg,inf,inf,inf
180_processed.jpeg,inf,inf,inf
182_processed.jpeg,inf,inf,inf
183_processed.jpeg,inf,inf,inf
184_processed.jpeg,inf,inf,inf
185_processed.jpeg,inf,inf,inf
186_processed.jpeg,inf,inf,inf
187_processed.jpeg,inf,inf,inf
188_processed.jpeg,inf,inf,inf
189_processed.jpeg,inf,inf,inf
18_processed.jpeg,inf,inf,inf
190_processed.jpeg,inf,inf,inf
191_processed.jpeg,inf,inf,inf
192_processed.jpeg,inf,inf,inf
193_processed.jpeg,inf,inf,inf
194_processed.jpeg,inf,inf,inf
195_processed.jpeg,inf,inf,inf
196_processed.jpeg,inf,inf,inf
197_processed.jpeg,inf,inf,inf
198_processed.jpeg,inf,inf,inf
199_processed.jpeg,inf,inf,inf
19_processed.jpeg,inf,inf,inf
1_processed.jpeg,inf,inf,inf
200_processed.jpeg,inf,inf,inf
203_processed.jpeg,inf,inf,inf
204_processed.jpeg,inf,inf,inf
205_processed.jpeg,inf,inf,inf
206_processed.jpeg,inf,inf,inf
207_processed.jpeg,inf,inf,inf
208_processed.jpeg,inf,inf,inf
209_processed.jpeg,inf,inf,inf
20_processed.jpeg,inf,inf,inf
210_processed.jpeg,inf,inf,inf
211_processed.jpeg,inf,inf,inf
212_processed.jpeg,inf,inf,inf
213_processed.jpeg,inf,inf,inf
214_processed.jpeg,inf,inf,inf
215_processed.jpeg,inf,inf,inf
216_processed.jpeg,inf,inf,inf
217_processed.jpeg,inf,inf,inf
218_processed.jpeg,inf,inf,inf
219_processed.jpeg,inf,inf,inf
21_processed.jpeg,inf,inf,inf
220_processed.jpeg,inf,inf,inf
221_processed.jpeg,inf,inf,inf
222_processed.jpeg,inf,inf,inf
223_processed.jpeg,inf,inf,inf
224_processed.jpeg,inf,inf,inf
225_processed.jpeg,inf,inf,inf
226_processed.jpeg,inf,inf,inf
227_processed.jpeg,inf,inf,inf
228_processed.jpeg,inf,inf,inf
229_processed.jpeg,inf,inf,inf
230_processed.jpeg,inf,inf,inf
231_processed.jpeg,inf,inf,inf
232_processed.jpeg,inf,inf,inf
233_processed.jpeg,inf,inf,inf
234_processed.jpeg,inf,inf,inf
235_processed.jpeg,inf,inf,inf
236_processed.jpeg,inf,inf,inf
237_processed.jpeg,inf,inf,inf
238_processed.jpeg,inf,inf,inf
239_processed.jpeg,inf,inf,inf
23_processed.jpeg,inf,inf,inf
240_processed.jpeg,inf,inf,inf
241_processed.jpeg,inf,inf,inf
242_processed.jpeg,inf,inf,inf
243_processed.jpeg,inf,inf,inf
244_processed.jpeg,inf,inf,inf
245_processed.jpeg,inf,inf,inf
246_processed.jpeg,inf,inf,inf
247_processed.jpeg,inf,inf,inf
248_processed.jpeg,inf,inf,inf
249_processed.jpeg,inf,inf,inf
24_processed.jpeg,inf,inf,inf
250_processed.jpeg,inf,inf,inf
251_processed.jpeg,inf,inf,inf
